,User,Search Term,Tweet Text,Compound Score,Positive,Neutral,Negative,Timestamp
0,Shutzy59,@bbcworld,RT @BBCWorld: Stan's Donuts: A farewell to a shop closed by coronavirus https://t.co/aCY4sJLQdq,0.0,0.0,0.0,1.0,1590293329.0
1,Iceman_cometh1,@bbcworld,RT @BBCWorld: Over 40 coronavirus cases traced to church service in Germany after lockdown was eased https://t.co/15XNkarQHk,0.296,0.121,0.0,0.879,1590293327.0
2,jmlp85,@bbcworld,@MelpliusEli @Patrici54417503 @BBCWorld and honestly saying to me educate yourself after defined wrongly very known things like gravity and faith it shows how little humble you are and how close your mind is unprepared to exchange any argumentation with anybody,0.8207,0.188,0.0,0.812,1590293324.0
3,zjmng1,@bbcworld,@BBCWorld still a sad number.,-0.4215,0.176,0.419,0.405,1590293324.0
4,jpak25,@bbcworld,RT @NickBryantNY: Hardship in American suburbia - hard to comprehend the length of the queue at this commuter belt foodbank or the high-end…,-0.4019,0.0,0.15,0.85,1590293321.0
5,NwaBiaf26910968,@bbcworld,RT @homelandlove: @MrSomtoOkonkwo @MaziNnamdiKanu @psj_ng @SilentNigeria @StateDept @EURACTIV @UN @EU_Commission @NigeriaGov International…,0.0,0.0,0.0,1.0,1590293317.0
6,Stevediscobay,@bbcworld,"@BBCWorld Its closed by nutty power-hungry governor's!

millions of people are suffering but not from the Coronavirus!

Essential shopping is a bunch of crap if you can do that everything else can also be open!

No need to crash the economy, seems like that's what governors want?",-0.8392,0.081,0.217,0.702,1590293315.0
7,ac4349,@bbcworld,RT @BBCWorld: Coronavirus: Which health claims are circulating online? https://t.co/J2MMJXyaKd,0.0,0.0,0.0,1.0,1590293311.0
8,HLSudler,@bbcworld,RT @BBCWorld: Stan's Donuts: A farewell to a shop closed by coronavirus https://t.co/aCY4sJLQdq,0.0,0.0,0.0,1.0,1590293311.0
9,NjbBari3,@bbcworld,@boringfileclerk @BBCWorld Doughnuts (in moderation) are essential. This type of small business is where the government money was supposed to go. 😢 https://t.co/x4BPbXkXqA,-0.4767,0.0,0.119,0.881,1590293307.0
10,ryo8096,@bbcworld,"RT @BBCWorld: Netflix star and Japanese wrestler Hana Kimura dies, aged 22

https://t.co/4kYqDXVt6N",0.0,0.0,0.0,1.0,1590293304.0
11,St3v3nParker,@bbcworld,@BBCWorld are you sure smoking doesn't help ward off the virus? cause it fking kills everything else lol,-0.1675,0.205,0.232,0.563,1590293295.0
12,cadenwendy,@bbcworld,RT @BBCWorld: Coronavirus: Which health claims are circulating online? https://t.co/J2MMJXyaKd,0.0,0.0,0.0,1.0,1590293292.0
13,manuel_alarcon,@bbcworld,@CNNInternatDesk @BBCWorld @nytimes @TIME @CNNChile @CNN @washingtonpost @nbc @Reuters @AP @TelegraphNews @ONUChile @TelemundoNews @bbcmundo @dw_espanol @nytvideo @inddhh @tvn @DeutscheWelle @24horas @chvnoticias @meganoticias @tele13alahora @ApoderadosOrg https://t.co/spPVwT9GbU,0.0,0.0,0.0,1.0,1590293292.0
14,Naluk16,@bbcworld,RT @BBCWorld: Taliban announce three-day Eid ceasefire with Afghan government https://t.co/0UnMSRoyPN,0.0,0.0,0.0,1.0,1590293292.0
15,shelovesbigucci,@bbcworld,"@theKNIGHTGOLDEN @BBCWorld These people arent losing just money. These are their businesses. You know, the years of hard work and dedication to try and improve their lives. This is killing their livelihood... they cant just re-start a business once someone claims its safe.",0.4559,0.186,0.11,0.704,1590293289.0
